,mel,afi,d4r,bea,cas,nsc,d6r,mfi,bik,mtt,ddr,mwf,sod,fer,pcr,bog,mor,cha,lta,imf,dzc,can,non,pau,mei,sti,mtn,jbw,stf,aft,bre,lau,gis,ast,nat,ton,dsc,afs,mtw,gme,doh,rth,d8r,ats,abw,dcc,lev,rut,atn,ltl,bph,clo,lov,mso,dnc,rte,phi,d3r,afy,vsv,los,aww,eab,ave
bre,0.07177679719091463,0.0,0.20314994958218,0.011605106315143294,8.799352982304263e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020890277673238673,0.014159089205007316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010524995903633908,0.04361322902026512,0.0,0.0,0.14681227452657575,0.0,1.0,0.4838054411724344,0.0,0.0,0.0,0.0,0.0,0.0,0.008596160417101569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lau,0.07045924096132362,0.0,0.22313336446234638,0.024723386035254494,0.001944350108925596,0.0,0.00011108786870805725,0.0,0.0,0.010027251252124553,0.0,0.0,0.0,0.0,0.0,0.0010588590991946654,0.002639918756043121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003961725956858974,0.0,0.0,0.33222769094539745,0.0,0.4838054411724344,0.9999999999999999,0.0,0.0,0.0,0.0,0.0009884090307677156,0.0,0.0033399062951325323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01884472412098323,0.0,0.0,0.0022208581085562842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02267183801768735,0.0,0.0
gis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10315497806553203,0.0,0.0,0.0,0.0,0.0,0.0,0.003969268961178801,0.0,0.0,0.0,0.0,0.03692010079295222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00043010402490362224,0.0,0.0,0.0,0.0,0.0,0.02547480089420935,0.0,0.001707852792931079,0.7922678301163754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025730868098906408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ast,0.0,0.0,0.19940903834243318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006467910003539166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006314871351207211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ton,0.0,0.0,0.20943582534147995,0.0,0.06810050241233659,0.0,0.0,0.0,0.4157992680833612,0.689849091951471,0.0,0.0,0.0,0.41128096385650365,0.0,0.0,0.05832584823903523,0.0,0.0,0.0,0.052106013616136586,0.0,0.49014073245927875,0.0,0.0,0.0,0.0,0.41612209502359593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsc,0.0,0.0,0.0,0.0,0.0,0.0,0.047787113349369935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013125167795172602,0.0,0.0,0.0,0.0,0.43296129824994584,0.0,0.00035777467598720127,0.0,0.006596561336781573,0.0,0.0,0.0,0.0,0.0,0.0009884090307677156,0.00043010402490362224,0.0,0.0,0.0,1.0,0.0,0.0,0.5819296991471391,0.0,0.0,0.0,0.0,0.0018577338865491792,0.0003445810570088747,0.0,0.0,0.0,0.5624797951802043,0.0,0.0,0.0,0.0,0.0,0.0,0.3779078117245854,0.0,0.0,0.0,0.0,0.03286492897883945,0.0,0.0
afs,0.044225966043688746,0.0,0.0,0.0,0.0,0.10400262409885694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10396080285977302,0.0,0.0,0.0,0.42954655403830816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.8099897544500271,0.0,0.0,0.7362834647835984,0.0,0.4098861273324185,0.0,0.0,0.0,0.0,0.3743168476007514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07837256813218224,0.0,0.0,0.0,0.0,0.0
mtw,0.0009038633134011762,1.1771752286709894e-05,0.08205413481205456,0.867485639046227,0.11352666037106628,0.0,4.4711537276204583e-07,0.0,0.3567154448727326,7.910263233677894e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.41390073572930436,0.0,0.0,0.0,0.0001435583119876172,0.0,0.0,0.0,0.0,0.015246457655221585,0.0,0.3568467389410591,0.005548858137053496,0.0,0.008596160417101569,0.0033399062951325323,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.00041143069139449527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.938688018836151e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gme,0.0,0.0,0.0,0.0,0.0,0.0,0.04278048938618476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000157792313180217,0.0,0.0,0.0,0.0,0.1392468510132793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4225592680938168,0.0,0.0,0.0,0.0,0.0,0.0,0.5819296991471391,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.06472803209075034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006500911816827951,0.0
